
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,74.28,74.32,74.46,74.52,74.76,74.75,74.72,74.67,74.58,74.46,74.34,74.38 
1901,74.37,74.37,74.25,74.41,74.76,74.73,74.76,74.67,74.57,74.46,74.29,74.2 
1902,74.32,74.32,74.28,74.58,74.63,74.63,74.67,74.82,74.76,74.63,74.52,74.47 
1903,74.41,74.37,74.47,74.82,75.01,74.93,74.95,74.95,74.84,74.69,74.64,74.54 
1904,74.43,74.37,74.49,74.79,75.11,75.27,75.31,75.28,75.19,75.04,74.95,74.73 
1905,74.63,74.64,74.49,74.61,74.78,74.89,75.02,75.07,75.07,74.92,74.86,74.75 
1906,74.76,74.84,74.79,74.76,74.86,74.86,74.93,74.92,74.78,74.64,74.66,74.66 
1907,74.67,74.93,74.89,74.99,75.04,75.1,75.1,75.08,74.98,74.9,74.84,74.86 
1908,74.92,74.99,75.08,75.28,75.4,75.57,75.53,75.43,75.24,75.02,74.86,74.69 
1909,74.54,74.54,74.64,74.67,74.93,75.18,75.11,75.1,74.98,74.79,74.63,74.55 
1910,74.5,74.49,74.5,74.67,74.79,74.9,74.87,74.81,74.73,74.63,74.54,74.47 
1911,74.38,74.38,74.43,74.47,74.6,74.63,74.66,74.57,74.44,74.37,74.31,74.29 
1912,74.37,74.4,74.43,74.52,74.92,75.13,75.13,75.02,74.92,74.86,74.76,74.78 
1913,74.78,75.04,74.92,75.18,75.34,75.39,75.36,75.24,75.11,74.93,74.81,74.78 
1914,74.7,74.66,74.63,74.76,74.98,75.05,75.02,74.92,74.84,74.72,74.58,74.47 
1915,74.35,74.37,74.5,74.49,74.49,74.49,74.49,74.49,74.61,74.57,74.49,74.4 
1916,74.38,74.54,74.57,74.67,75.01,75.21,75.42,75.28,75.07,74.87,74.72,74.61 
1917,74.54,74.47,74.43,74.64,74.89,74.93,75.13,75.22,75.1,74.98,74.99,74.92 
1918,74.87,74.73,74.82,75.04,75.13,75.08,75.04,74.95,74.81,74.76,74.76,74.72 
1919,74.73,74.73,74.7,74.81,75.02,75.34,75.33,75.24,75.1,74.93,74.81,74.72 
1920,74.61,74.49,74.4,74.58,74.63,74.61,74.63,74.67,74.61,74.54,74.5,74.49 
1921,74.63,74.6,74.6,74.81,74.92,74.96,74.9,74.81,74.64,74.5,74.4,74.38 
1922,74.38,74.32,74.41,74.55,74.9,74.93,75.02,74.98,74.82,74.69,74.54,74.41 
1923,74.29,74.29,74.26,74.46,74.6,74.67,74.73,74.61,74.5,74.4,74.29,74.25 
1924,74.31,74.4,74.38,74.46,74.66,74.86,74.84,74.81,74.72,74.64,74.5,74.35 
1925,74.25,74.22,74.4,74.63,74.64,74.61,74.55,74.47,74.32,74.29,74.22,74.29 
1926,74.28,74.17,74.14,74.25,74.54,74.54,74.55,74.46,74.43,74.43,74.46,74.6 
1927,74.55,74.54,74.58,74.76,74.72,74.79,74.78,74.76,74.6,74.46,74.38,74.5 
1928,74.67,74.76,74.76,74.79,74.93,74.92,74.98,74.98,74.9,74.72,74.66,74.66 
1929,74.69,74.75,74.7,74.95,75.31,75.53,75.5,75.45,75.27,75.1,74.98,74.93 
1930,74.89,75.05,75.14,75.33,75.36,75.42,75.42,75.31,75.1,74.93,74.72,74.6 
1931,74.47,74.4,74.35,74.4,74.46,74.57,74.55,74.5,74.35,74.28,74.17,74.12 
1932,74.14,74.4,74.52,74.55,74.78,74.81,74.73,74.67,74.57,74.37,74.26,74.26 
1933,74.25,74.26,74.2,74.25,74.49,74.58,74.55,74.44,74.35,74.22,74.05,73.99 
1934,73.97,74.09,74.02,74.12,74.31,74.25,74.22,74.09,73.91,73.93,73.77,73.77 
1935,73.74,73.85,73.88,74.02,74.06,74.15,74.25,74.23,74.09,74.0,73.9,73.86 
1936,73.85,73.82,73.77,74.31,74.54,74.5,74.44,74.32,74.2,74.12,74.06,74.03 
1937,74.02,74.29,74.4,74.38,74.63,74.76,74.79,74.73,74.66,74.47,74.41,74.38 
1938,74.31,74.28,74.44,74.64,74.75,74.75,74.69,74.66,74.57,74.54,74.4,74.31 
