Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,5350,5240,5410,5550,5800,5830,5720,5690,5580,5350,5490,5470
1901,5350,4840,4810,4870,5100,5380,5380,5320,5380,5270,5210,5210
1902,5130,4730,4870,5180,5470,5610,5950,5920,5720,5830,5690,5640
1903,5550,5300,5610,6000,6170,6170,6090,5920,5920,5800,5640,5640
1904,4930,5040,5440,6060,6400,6540,6370,6230,6090,5970,5800,5720
1905,5350,5010,5100,5350,5860,6200,6310,6200,6090,6000,5780,5890
1906,5720,5440,5320,5550,5800,5920,5920,5860,5720,5750,5830,5920
1907,6140,5780,5660,5890,6170,6290,6400,6170,6090,6060,6000,6000
1908,6060,5690,5860,6230,6540,6460,6310,6200,5950,5660,5660,5610
1909,5210,5210,5380,5490,6170,6230,6170,5950,5750,5550,5410,5660
1910,5100,4900,5240,5440,5950,5920,5780,5610,5440,5550,5470,5320
1911,5040,4810,4930,5070,5490,5490,5380,5210,5100,5210,5520,5380
1912,5210,4840,4870,5520,5920,5890,5750,5800,5830,5720,5830,5750
1913,5750,5890,5780,6600,6770,6650,6460,6170,5860,5750,5860,5830
1914,5580,5380,5130,5550,6090,6140,5920,5780,5690,5520,5580,5300
1915,4930,4930,5100,4960,5300,5380,5470,5660,5640,5610,5580,5350
1916,5550,5550,5350,5720,6140,6310,6170,6000,5800,5660,5550,5550
1917,5320,5070,5270,5720,6200,6510,6630,6480,6260,6260,6230,6120
1918,5490,5240,5610,5470,5690,5830,5780,5750,5830,5690,5860,5660
1919,5830,5610,5690,6000,6510,6510,6260,6200,6000,5780,5860,5640
1920,5010,4620,4760,5100,5640,5780,5800,5720,5660,5640,5610,5800
1921,5490,5300,5440,5780,6090,6000,5920,5660,5610,5410,5270,5640
1922,5240,4870,4930,5660,5920,5970,5800,5660,5550,5470,5380,5100
1923,4930,4700,4870,5040,5380,5520,5320,5240,5100,5010,4960,5210
1924,5440,4870,4900,5150,5690,5660,5690,5520,5410,5380,5300,5150
1925,4560,4470,4790,4870,5100,5070,4930,4870,4810,4840,4930,4870
1926,4130,3960,4330,4670,4730,5130,4960,4930,4980,5380,5580,5270
1927,4900,4810,4840,5150,5490,5610,5520,5410,5300,5130,5150,5750
1928,5470,5070,5070,5180,5470,5830,5920,5780,5640,5490,5610,5640
1929,5440,5320,5720,6340,7020,6910,6820,6570,6290,6090,6340,6090
1930,6290,6060,6310,6140,6650,6650,6400,6060,5950,5720,5610,5470
1931,5240,4930,4700,4980,5180,5180,5180,5100,5010,4900,4900,4930
1932,5350,5470,5130,5180,5380,5380,5300,5100,4900,4810,4730,4810
1933,4930,4620,4500,4790,5490,5490,5180,4980,4840,4730,4620,4470
1934,4390,3990,4050,4390,4500,4470,4360,4390,4360,4330,4190,4280
1935,4190,4050,4160,4300,4620,4730,4670,4760,4590,4470,4420,4390
1936,3990,3280,4360,4790,4870,4980,4810,4670,4560,4670,4760,4470
1937,4980,5210,4960,5210,5640,5690,5860,5640,5350,5130,5070,4900
1938,4470,4560,4960,5380,5550,5520,5470,5580,5350,5180,5210,5180
1939,4810,4700,4960,5150,5580,5660,5520,5520,5300,5240,5070,5150
1940,4590,4500,4640,5150,5350,5640,5520,5300,5350,5150,5270,5300
1941,5240,5100,4900,5010,5130,5130,5100,5010,4930,4840,5010,4810
1942,4560,4530,4840,5270,5580,5660,5640,5660,5580,5470,5610,5610
1943,5210,5410,5440,5490,6260,6740,6570,6480,6260,5950,6000,5890
1944,5380,5300,5320,5720,6170,6260,6060,5860,5750,5580,5410,5520
1945,4960,5070,5550,5830,6140,6230,6200,6170,6030,6370,6120,6060
1946,5830,5490,5640,5830,5890,6140,6060,6000,5720,5550,5640,5580
1947,5350,5040,5240,5210,6290,6910,6630,6370,6290,5920,5950,5920
1948,5490,5470,5780,6230,6570,6480,6310,6140,5860,5660,5720,5550
1949,5660,5750,5640,5720,5780,5640,5550,5440,5410,5150,5100,5100
1950,5550,5660,5660,5890,6200,6120,5860,5660,5610,5520,5660,5860
1951,5780,5690,5800,6400,6570,6480,6290,6120,6000,5890,6030,6140
1952,6460,6570,6710,6970,7110,6850,6630,6510,6480,6230,6030,6090
1953,6030,6230,6200,6290,6370,6340,6290,6260,6140,5800,5800,6030
1954,5580,5490,5890,6290,6480,6290,6060,6090,5970,6230,6340,6310
1955,6430,6140,6510,6680,6710,6460,6200,6140,5860,5950,6060,5780
1956,5210,5130,5350,5720,6290,6170,6030,6090,6060,5640,5640,5490
1957,5440,5240,5270,5780,5920,5890,6030,5720,5640,5320,5490,5440
1958,5350,4960,4980,5070,5150,5180,5270,5270,5210,5040,5070,4870
1959,4670,4810,5130,5320,5580,5580,5320,5150,4960,5070,5210,5180
1960,5470,5410,5180,5470,5920,6030,5950,5750,5690,5550,5640,5440
1961,5190,5240,5460,5960,6520,6360,6120,6000,5940,5630,5500,5560
1962,5080,4940,5270,5410,5600,5420,5330,5250,5220,5190,5010,5280
1963,4800,4530,5030,5130,5360,5420,5130,5050,4710,4540,4730,4730
1964,4070,4080,4670,4960,5300,5160,4930,4850,4710,4590,4470,4390
1965,4470,4670,4870,4930,5220,5300,5100,4990,4930,5080,5120,5040
1966,5070,5150,5320,5330,5730,5700,5590,5500,5300,5190,5120,5520
1967,5490,5350,5240,5700,5950,5700,5730,5610,5470,5640,5770,5740
