Daily data for a single subbasin.
Lake:    ,ont
Subbasin:,lake
Area:    ,  0.19121E+11
Starts(YMD):,1940-01-01
Ends(YMD):  ,2021-02-01
NewDataStart(YMD):,2021-02-02
Date      ,AirTempMin,AirTempMax,    Precip,   AirTemp,  Dewpoint, Windspeed,CloudCover
YYYY-MM-DD,   Celsius,   Celsius,Millimeter,   Celsius,   Celsius,Meters/Sec,   Percent
1940-01-01,    -11.53,     -4.73,      4.37,        NA,        NA,        NA,        NA
1940-01-02,    -14.43,     -6.85,      2.14,        NA,        NA,        NA,        NA
1940-01-03,    -12.32,     -4.45,      1.37,        NA,        NA,        NA,        NA
1940-01-04,    -12.96,     -3.71,      0.98,        NA,        NA,        NA,        NA
1940-01-05,    -13.30,     -5.03,      5.13,        NA,        NA,        NA,        NA
1940-01-06,    -15.30,     -6.36,      0.51,        NA,        NA,        NA,        NA
1940-01-07,    -21.12,     -8.99,      0.09,        NA,        NA,        NA,        NA
1940-01-08,    -15.34,     -7.91,      0.26,        NA,        NA,        NA,        NA
1940-01-09,    -18.82,     -5.02,      0.01,        NA,        NA,        NA,        NA
1940-01-10,    -15.57,     -3.21,      0.09,        NA,        NA,        NA,        NA
1940-01-11,    -10.28,     -1.01,      3.70,        NA,        NA,        NA,        NA
1940-01-12,     -3.64,      1.88,      2.60,        NA,        NA,        NA,        NA
1940-01-13,     -3.89,      3.82,      0.11,        NA,        NA,        NA,        NA
1940-01-14,     -1.06,      4.96,     14.22,        NA,        NA,        NA,        NA
1940-01-15,     -2.37,      4.08,      1.64,        NA,        NA,        NA,        NA
1940-01-16,    -14.54,     -3.42,      0.63,        NA,        NA,        NA,        NA
1940-01-17,    -20.19,    -11.51,      2.60,        NA,        NA,        NA,        NA
1940-01-18,    -16.03,     -9.59,      0.97,        NA,        NA,        NA,        NA
1940-01-19,    -17.13,    -11.27,      0.97,        NA,        NA,        NA,        NA
1940-01-20,    -16.46,     -8.87,      4.86,        NA,        NA,        NA,        NA
1940-01-21,    -10.89,     -4.17,      2.88,        NA,        NA,        NA,        NA
1940-01-22,    -10.06,     -3.75,      4.01,        NA,        NA,        NA,        NA
1940-01-23,    -16.92,     -6.84,      0.29,        NA,        NA,        NA,        NA
1940-01-24,    -14.62,     -7.89,      1.69,        NA,        NA,        NA,        NA
1940-01-25,    -12.32,     -6.23,      1.79,        NA,        NA,        NA,        NA
1940-01-26,    -14.03,     -9.07,      1.55,        NA,        NA,        NA,        NA
1940-01-27,    -17.00,    -10.01,      0.80,        NA,        NA,        NA,        NA
1940-01-28,    -14.76,     -6.91,      0.45,        NA,        NA,        NA,        NA
1940-01-29,    -12.71,     -4.51,      0.37,        NA,        NA,        NA,        NA
1940-01-30,    -16.65,     -5.98,      0.00,        NA,        NA,        NA,        NA
1940-01-31,    -17.22,     -3.18,      0.00,        NA,        NA,        NA,        NA
1940-02-01,    -13.59,     -2.98,      4.72,        NA,        NA,        NA,        NA
1940-02-02,    -14.50,     -4.94,      2.90,        NA,        NA,        NA,        NA
1940-02-03,    -14.00,     -1.16,      0.00,        NA,        NA,        NA,        NA
1940-02-04,    -10.09,     -0.71,      0.00,        NA,        NA,        NA,        NA
1940-02-05,     -6.95,      0.70,      0.00,        NA,        NA,        NA,        NA
1940-02-06,     -3.98,      2.50,      4.33,        NA,        NA,        NA,        NA
1940-02-07,     -2.23,      2.11,      0.52,        NA,        NA,        NA,        NA
1940-02-08,     -4.91,      0.30,      0.89,        NA,        NA,        NA,        NA
1940-02-09,    -11.30,     -1.51,      1.25,        NA,        NA,        NA,        NA
1940-02-10,     -8.73,     -1.27,      8.30,        NA,        NA,        NA,        NA
1940-02-11,     -6.41,      0.52,      4.21,        NA,        NA,        NA,        NA
1940-02-12,     -6.30,      0.27,      1.27,        NA,        NA,        NA,        NA
1940-02-13,    -11.00,     -3.30,      1.27,        NA,        NA,        NA,        NA
1940-02-14,    -10.96,     -3.95,      7.22,        NA,        NA,        NA,        NA
1940-02-15,    -11.06,     -4.17,      0.01,        NA,        NA,        NA,        NA
1940-02-16,    -12.98,     -2.58,      0.00,        NA,        NA,        NA,        NA
1940-02-17,    -11.56,     -0.52,      0.00,        NA,        NA,        NA,        NA
1940-02-18,    -11.83,      0.01,      0.94,        NA,        NA,        NA,        NA
1940-02-19,     -3.08,      2.00,     10.70,        NA,        NA,        NA,        NA
1940-02-20,     -3.42,      2.67,      3.30,        NA,        NA,        NA,        NA
1940-02-21,     -9.37,     -0.44,      0.00,        NA,        NA,        NA,        NA
1940-02-22,    -14.51,     -0.09,      0.18,        NA,        NA,        NA,        NA
1940-02-23,     -8.55,     -1.46,      1.58,        NA,        NA,        NA,        NA
1940-02-24,     -9.30,      0.50,      6.62,        NA,        NA,        NA,        NA
1940-02-25,    -13.31,     -2.57,      0.74,        NA,        NA,        NA,        NA
1940-02-26,    -18.75,     -5.27,      0.04,        NA,        NA,        NA,        NA
1940-02-27,    -17.33,     -5.33,      1.85,        NA,        NA,        NA,        NA
1940-02-28,    -10.21,     -3.55,      0.63,        NA,        NA,        NA,        NA
1940-02-29,    -13.13,      0.05,      0.49,        NA,        NA,        NA,        NA
1940-03-01,     -9.84,     -2.25,      0.18,        NA,        NA,        NA,        NA
1940-03-02,    -13.06,      0.56,      0.00,        NA,        NA,        NA,        NA
1940-03-03,     -4.36,      1.97,      8.76,        NA,        NA,        NA,        NA
1940-03-04,     -0.24,      2.38,      7.22,        NA,        NA,        NA,        NA
1940-03-05,     -1.82,      2.16,      2.20,        NA,        NA,        NA,        NA
1940-03-06,     -3.46,      0.60,      1.73,        NA,        NA,        NA,        NA
1940-03-07,     -5.36,     -1.07,      0.57,        NA,        NA,        NA,        NA
1940-03-08,     -6.98,     -0.78,      0.72,        NA,        NA,        NA,        NA
1940-03-09,     -6.66,     -1.87,      0.13,        NA,        NA,        NA,        NA
1940-03-10,    -11.75,     -3.39,      0.30,        NA,        NA,        NA,        NA
1940-03-11,    -14.11,     -6.95,      0.00,        NA,        NA,        NA,        NA
1940-03-12,    -15.77,     -5.18,      0.00,        NA,        NA,        NA,        NA
1940-03-13,    -14.10,     -2.14,      0.77,        NA,        NA,        NA,        NA
1940-03-14,     -6.38,      1.63,     11.07,        NA,        NA,        NA,        NA
1940-03-15,     -7.83,      0.58,      4.07,        NA,        NA,        NA,        NA
1940-03-16,     -7.28,      0.81,      0.32,        NA,        NA,        NA,        NA
1940-03-17,     -6.03,      0.99,      0.09,        NA,        NA,        NA,        NA
1940-03-18,     -9.06,      2.00,      2.55,        NA,        NA,        NA,        NA
1940-03-19,     -5.82,      2.90,      3.01,        NA,        NA,        NA,        NA
1940-03-20,     -8.05,      1.88,      6.73,        NA,        NA,        NA,        NA
1940-03-21,    -11.38,      1.67,      2.34,        NA,        NA,        NA,        NA
1940-03-22,    -10.29,     -1.39,      1.18,        NA,        NA,        NA,        NA
1940-03-23,    -15.15,     -6.95,      0.28,        NA,        NA,        NA,        NA
1940-03-24,    -14.77,     -6.31,      0.12,        NA,        NA,        NA,        NA
1940-03-25,    -12.73,     -3.16,      0.22,        NA,        NA,        NA,        NA
1940-03-26,     -7.68,     -0.27,      1.11,        NA,        NA,        NA,        NA
1940-03-27,     -6.24,      2.35,      2.49,        NA,        NA,        NA,        NA
1940-03-28,     -9.35,      3.14,      0.00,        NA,        NA,        NA,        NA
1940-03-29,     -2.66,      8.28,      0.52,        NA,        NA,        NA,        NA
1940-03-30,      1.90,      8.39,      2.02,        NA,        NA,        NA,        NA
1940-03-31,      0.64,      8.02,      0.02,        NA,        NA,        NA,        NA
1940-04-01,     -1.57,      5.17,      0.05,        NA,        NA,        NA,        NA
1940-04-02,     -3.72,      5.27,      0.00,        NA,        NA,        NA,        NA
1940-04-03,     -3.04,      4.81,      4.20,        NA,        NA,        NA,        NA
1940-04-04,      0.65,      7.48,      4.35,        NA,        NA,        NA,        NA
1940-04-05,     -0.65,      4.52,      0.21,        NA,        NA,        NA,        NA
1940-04-06,     -1.31,      8.93,      0.00,        NA,        NA,        NA,        NA
1940-04-07,     -1.60,      9.87,      0.97,        NA,        NA,        NA,        NA
1940-04-08,      3.12,     11.60,     11.01,        NA,        NA,        NA,        NA
