Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Means,Daily Maximum,Daily Minimum
1964,1471,1436,1782,2564,2227,1754,1256,924,851,990,1028,1232,1459,3726,560
1965,1257,1286,1426,2078,2851,1511,1017,1247,1785,3163,2605,2243,1876,3672,570
1966,2147,1908,2648,3197,2635,2254,1336,1481,1240,1397,1917,3422,2133,5410,840
1967,2220,2221,1737,4256,3924,3157,2106,1363,1306,2112,3374,2265,2500,5407,974
1968,2016,1913,2339,3480,1799,1596,1659,1280,1184,1150,1223,1361,1748,4653,805
1969,1453,1510,1644,3293,3499,2217,1595,1440,1101,1235,2135,1958,1924,5134,771
1970,1592,1480,1543,2925,3553,2470,2261,1698,1228,1379,1609,1525,1941,4990,842
1971,1396,1354,1484,3512,3536,1579,997,952,880,870,907,1172,1553,5704,306
1972,1224,1163,1253,3169,4806,2374,2195,2046,1850,1940,2614,2073,2228,6329,863
1973,1975,2071,3615,4137,3841,2765,2065,1563,1362,1665,1703,1904,2390,5703,1086
1974,1726,1678,2307,3883,6496,4349,2210,1299,1069,1235,1968,2025,2524,8105,611
1975,1922,1748,2005,3206,3057,2060,1109,866,826,975,1162,1612,1711,5790,613
1976,1553,1546,2338,5767,3861,1882,1548,1252,1125,1217,1231,1437,2061,8190,704
1977,1351,1201,2677,3743,2326,1134,1121,930,973,1323,1571,2012,1699,5062,617
1978,1966,1902,1499,3169,2923,1537,1069,958,844,1263,1231,1286,1634,4668,701
1979,1454,1428,2537,4113,5023,2231,1466,1273,1296,1934,2483,2850,2346,6686,998
1980,2332,1948,2182,3574,2736,1484,1431,1420,1300,2175,2294,1919,2066,5329,683
1981,1603,2813,3116,4309,2996,2759,1582,1203,1706,1741,2027,1563,2276,6222,907
1982,1394,1374,1558,3176,2283,1426,1100,851,852,1030,1580,2259,1573,4585,684
1983,2381,2176,2571,2914,4915,3049,1237,1039,896,1081,1581,1787,2136,6907,567
